,O,Location,Person,MilitaryPlatform,Organisation,Weapon,Temporal,Money
factors,1.0,,,,,,,
counted,2.0,,,,,,,
met,7.0,,,,,,,
sergeant,2.0,,,,,,,
nicknamed,2.0,,,,,,,
mushroom,1.0,,,,,,,
older,2.0,,,,,,,
52,4.0,,,,2.0,,,
exact,1.0,,,,,,,
30,3.0,,,,,,1.0,1.0
ago.,1.0,,,,,,,
happens,2.0,,,,,,,
howitzers,1.0,,,,,,,
ancient,1.0,,,,,,,
commanded,3.0,,,,,,,
serving,1.0,,,,,,,
Soviet,1.0,,,1.0,1.0,,,
watched,1.0,,,,,,,
firing,3.0,,,,,,,
manufactured,2.0,,,,,,,
40,4.0,,,,,,,
crew,4.0,,,,1.0,,,
Grandma.,1.0,,,,,,,
Who,1.0,,,,,,,
better,9.0,,,,,,,
quirks,1.0,,,,,,,
sit,1.0,,,,,,,
easily,1.0,,,,,,,
family.,1.0,,,,,,,
cried,1.0,,,,,,,
silently,1.0,,,,,,,
explained.,2.0,,,,,,,
loved,1.0,,,,,,,
Behind,1.0,,,,,,,
summit,2.0,,,,,,,
declarations,1.0,,,,,,,
takes,5.0,,,,,,,
managing,2.0,,,,,,,
hopes,4.0,,,,,,,
fears,2.0,,,,,,,
passed,3.0,,,,,,,
sight.,1.0,,,,,,,
rehabilitation,1.0,,,,,,,
life-changing,1.0,,,,,,,
discussed,5.0,,,,,,,
exchanges,4.0,,,,,,,
badly,1.0,,,,,,,
wounded,3.0,,,,,,,
wives,1.0,,,,,,,
return,5.0,,,,,,,
injured,7.0,,,,,,,
reckoned,2.0,,,,,,,
number,8.0,,,,,,,
boys,2.0,,,,,,,
limb,1.0,,,,,,,
family,5.0,,,,,,,
patients,1.0,,,,,,,
conversation,6.0,,,,,,,
marriage,1.0,,,,,,,
ruefully,1.0,,,,,,,
She,6.0,,,,,,,
thinks,1.0,,,,,,,
my,13.0,,,,,,,
minefield,1.0,,,,,,,
society,3.0,,,,1.0,,,
woken,1.0,,,,,,,
now.,1.0,,,,,,,
record,2.0,,,,,,,
death,6.0,,,,,,,
maiming,1.0,,,,,,,
affecting,1.0,,,,,,,
serve.,1.0,,,,,,,
Recruitment,1.0,,,,,,,
topic,3.0,,,,,,,
publish,2.0,,,,,,,
official,4.0,,2.0,,,,,
40s,1.0,,,,,,,
50s.,1.0,,,,,,,
Officers,1.0,,,,,,,
intense,2.0,,,,,,,
competition,7.0,,,,,,,
younger,1.0,,,,,,,
recruits,1.0,,,,,,,
various,4.0,,,,,,,
following,13.0,,,,,,,
sacking,1.0,,,,,,,
supervising,1.0,,,,,,,
call-up,3.0,,,,,,,
bribing,1.0,,,,,,,
smuggled,1.0,,,,,,,
service.,1.0,,,,,,,
willingly,1.0,,,,,,,
jobs,4.0,,,,,,,
attracted,1.0,,,,,,,
comes,12.0,,,,,,,
attempts,4.0,,,,,,,
tables,1.0,,,,,,,
order,15.0,,,,,,,
liberate,1.0,,,,,,,
lands,1.0,,,,,,,
expectations,2.0,,,,,,,
veterans,5.0,,,,,,,
An,4.0,,,1.0,,,,
breakthrough,2.0,,,,,,,
simply,2.0,,,,,,,
us.,1.0,,,,,,,
long-term,1.0,,,,,,,
compared,3.0,,,,,,,
implying,1.0,,,,,,,
goes,3.0,,,,,,,
loss.,1.0,,,,,,,
Casualties,1.0,,,,,,,
matter,12.0,,,,,,,
great,12.0,,,,,,,
sensitivity,1.0,,,,,,,
law,15.0,,,,,,,
estimated,7.0,,,,,,,
"70,000",1.0,,,,,,,
majority,6.0,,,,,,,
From,2.0,,,,,,,
analysis,3.0,,,,,,,
archive,1.0,,,,,,,
conservative,3.0,,,,,,,
estimate,1.0,,,,,,,
400,1.0,,,,,,,
personnel,18.0,,,,,,,
total.,1.0,,,,,,,
died,3.0,,,,,,,
remainder,1.0,,,,,,,
scores,2.0,,,,,,,
prisoner,2.0,,,,,,,
swaps,1.0,,,,,,,
limited,1.0,,,,,,,
far.,1.0,,,,,,,
wife,5.0,,,,,,,
returned,1.0,,,,,,,
departments,1.0,,,,,,,
written,1.0,,,,,,,
repatriation,1.0,,,,,,,
prisoners,1.0,,,,,,,
negotiated,1.0,,,,,,,
fall,3.0,,,,,,,
silent.,1.0,,,,,,,
loss,2.0,,,,,,,
outrage,1.0,,,,,,,
actions,8.0,,,,,,,
harder,1.0,,,,,,,
politicians,2.0,,,,,,,
agree,3.0,,,,,,,
armistice,1.0,,,,,,,
messy,1.0,,,,,,,
compromise,2.0,,,,,,,
cemetery,2.0,,,,,,,
outskirts,1.0,,,,,,,
fresh,5.0,,,,,,,
flowers,1.0,,,,,,,
brother,2.0,,,,,,,
grave.,1.0,,,,,,,
stop,9.0,,,,,,,
hide,1.0,,,,,,,
papers,2.0,,,,,,,
frontShe,1.0,,,,,,,
breaks,1.0,,,,,,,
feelings,1.0,,,,,,,
this.,2.0,,,,,,,
firearms,1.0,,,,,,,
instructor,1.0,,,,,,,
engaged,3.0,,,,,,,
fluttering,1.0,,,,,,,
flags,2.0,,,,,,,
adorn,1.0,,,,,,,
plot,1.0,,,,,,,
graves,1.0,,,,,,,
pain,1.0,,,,,,,
engender,1.0,,,,,,,
yearning,1.0,,,,,,,
rude,1.0,,,,,,,
shock.,1.0,,,,,,,
replied,1.0,,,,,,,
hate,1.0,,,,,,,
soul,1.0,,,,,,,
adding,7.0,,,,,,,
talk,9.0,,,,,,,
For,6.0,,,,,,,
professional,2.0,,,,,,,
uneasy,1.0,,,,,,,
flare-ups,1.0,,,,,,,
everybody,1.0,,,,,,,
feels,1.0,,,,,,,
attitudes,1.0,,,,,,,
encountered,1.0,,,,,,,
underlined,1.0,,,,,,,
degree,2.0,,,,,,,
whole,7.0,,,,,,,
clear-cut,1.0,,,,,,,
acceptable,1.0,,,,,,,
pre-announced,1.0,,,,,,,
Defense,1.0,1.0,12.0,1.0,15.0,1.0,,
Force,1.0,,4.0,2.0,42.0,,,
arrived,7.0,,,,,,,
Central,3.0,5.0,1.0,,32.0,,,
Command,4.0,2.0,2.0,,33.0,,,
Area,1.0,1.0,,,,,,
Responsibility,1.0,1.0,,,,,,
missions,23.0,,,,1.0,,,
Expeditionary,2.0,,,2.0,5.0,,,
Squadron,1.0,,,1.0,4.0,,,
Hill,1.0,1.0,,,1.0,,,
defend,4.0,,,,,,,
interests,5.0,,,,,,,
promote,5.0,,,,,,,
safeguard,1.0,,,,,,,
freedom,10.0,,,,,,,
navigation,4.0,,,,,,,
region.,8.0,3.0,,,,,,
coordination,6.0,,,,,,,
partner,20.0,,,,2.0,,,
theater,7.0,,,,1.0,,,
helping,2.0,,,,,,,
monitor,3.0,,,,,,,
increased,6.0,,,,,,,
capability,15.0,,,,,,,
contested,1.0,1.0,,,,,,
airspace,1.0,1.0,,,,,,
required.,1.0,,,,,,,
demonstrates,7.0,,,,,,,
commitment,19.0,,,,,,,
ensure,16.0,,,,,,,
maritime,57.0,1.0,,3.0,1.0,,,
coalition’s,2.0,,,,,,,
enduring,2.0,,,,,,,
mission,34.0,,,,,,,
defeat,7.0,,,,,,,
Due,1.0,,,,,,,
operational,13.0,,,1.0,,,,
host,3.0,,,,1.0,,,
requests,5.0,,,,,,,
discuss,9.0,,,,,,,
length,1.0,,,,,,,
locations,4.0,2.0,,,,,,
cutter,1.0,,,4.0,,,,
WPC,1.0,,,3.0,,,,
patrol,2.0,,,5.0,,,,
craft,2.0,,,3.0,,,,
conducted,20.0,,,,,,,
search,5.0,,,,,,,
rescue,5.0,,,,,,,
SAR,2.0,,,,,,,
exercise,52.0,,,,,,,
21,4.0,,,,,,2.0,
boat,2.0,,,1.0,,,,
variety,5.0,,,,,,,
procedures,10.0,,,,,,,
simulated,1.0,,,,,,,
over-board,1.0,,,,,,,
drill,1.0,,,,,,,
naval,20.0,,,2.0,4.0,,,
enhancing,3.0,,,,,,,
interoperability,9.0,,,,,,,
exercises,8.0,,,,,,,
symbolize,1.0,,,,,,,
bilateral,9.0,,,,,,,
Fast,1.0,,,,,,,
maneuverability,1.0,,,,,,,
capabilities,19.0,,,,,,,
speeds,1.0,,,,,,,
upwards,2.0,,,,,,,
28,1.0,,,,,,1.0,
knots,1.0,,,,,,,
ability,13.0,,,,,,,
launch,9.0,,,,,1.0,,
stern,1.0,,,,,,,
optimal,1.0,,,,,,,
Headquartered,1.0,,,,,,,
critical,18.0,,,,,,,
choke,6.0,,,,,,,
Naval,1.0,2.0,,2.0,21.0,,,
joint,19.0,,,2.0,,,,
Operation,9.0,,,,,,,
Maritime,6.0,,,,21.0,,,
Surface,1.0,,,1.0,,,,
Warfare,1.0,,,,,,,
AOMSW,3.0,,,,,,,
live,7.0,,,,,,,
employment,1.0,,,,,,,
fires,1.0,,,,,,,
surface,3.0,,,,,,,
improving,1.0,,,,,,,
proficiency.,1.0,,,,,,,
Participating,1.0,,,,,,,
75th,1.0,,,1.0,1.0,,,
marks,6.0,,,,,,,
sixth,1.0,,,,,,,
iteration,3.0,,,,,,,
Previous,1.0,,,,,,,
incorporated,1.0,,,,,,,
Two,4.0,,,,1.0,,,
aircraft,19.0,,,7.0,,,,
operate,4.0,,,,,,,
5,1.0,,,1.0,3.0,,4.0,2.0
&,2.0,,,,2.0,,,
practice,3.0,,,,,1.0,,
rounds,1.0,,,,,1.0,,
Coast,2.0,1.0,,3.0,10.0,,,
Guard,2.0,,,2.0,24.0,,,
embarked,4.0,,,,,,,
terminal,1.0,,,,,,,
controllers,1.0,,,,,,,
together,35.0,,,,,,,
60,3.0,,,1.0,,,,
helicopter,1.0,,,1.0,,,,
encompasses,5.0,,,,,,,
2.5,5.0,,,,,,,
–,42.0,,,,,,,
contingency,2.0,,,,,,,
Exercise,12.0,,,,1.0,,,
Lucky,4.0,,,,,,,
Strike,4.0,,,,,,,
23.2,3.0,,,,,,,
Joint,3.0,1.0,1.0,,2.0,,,
Training,3.0,2.0,,,,,,
Consisting,1.0,,,,,,,
approximately,15.0,,,,,,,
civilians,8.0,,,,,,,
rapidly,1.0,,,,,,,
deployable,1.0,,,,,,,
element,3.0,,,,,,,
allowed,4.0,,,,,,,
opportunity,14.0,,,,,,,
develop,8.0,,,,,,,
Internal,1.0,,,,,,,
Look,1.0,,,,,,,
coordinated,3.0,,,,,,,
“The,15.0,1.0,,1.0,,,,
short,3.0,,,,,,,
duration,1.0,,,,,,,
”,74.0,1.0,,,,,,
operations.,7.0,,,,,,,
“One,1.0,,,,,,,
things,6.0,,,,,,,
puts,2.0,,,,,,,
subordinate,3.0,,,,,,,
units.”,1.0,,,,,,,
expeditionary,6.0,,,,,,,
logistics,2.0,,,,,,,
functions.,1.0,,,,,,,
presented,3.0,,,,,,,
unique,3.0,,,,,,,
staff,11.0,,,,,,,
directorates,1.0,,,,,,,
tested,2.0,,,,,,,
required,6.0,,,,,,,
meticulous,1.0,,,,,,,
planning,15.0,,,,,,,
coordination.,1.0,,,,,,,
Leading,1.0,,,,,,,
Headquarters,7.0,,,,1.0,,,
administrative,5.0,,,,,,,
throughout,7.0,,,,,,,
Warrior,1.0,,,1.0,,,,
validating,1.0,,,,,,,
readiness,8.0,,,,,,,
package,1.0,,,1.0,,,,
Lt.,1.0,,6.0,,,,,
Overall,1.0,,,,,,,
pleased,1.0,,,,,,,
performance,2.0,,,,,,,
exercise.,4.0,,,,,,,
necessary,7.0,,,,,,,
future,18.0,,,,,,,
“I,11.0,,,,,,,
it’s,5.0,,,,,,,
“It’s,6.0,,,,,,,
never,4.0,,,,,,,
field,3.0,,,,,,,
level,12.0,,,,,,,
staffs,2.0,,,,,,,
participating,9.0,,,,,,,
ensuring,6.0,,,,,,,
event,11.0,,,,,,,
Torch,1.0,,,,,,,
completed,7.0,,,,,,,
tasks,2.0,,,,,,,
overseas,2.0,,,,,,,
Component,1.0,,,,3.0,,,
responsible,5.0,,,,,,,
administration,1.0,,,,1.0,,,
"12,000",1.0,,,,,,,
assigned,1.0,,,,,,,
embassies,1.0,,,,,,,
French-led,1.0,,,,,,,
CTF,1.0,,,,40.0,,,
150,1.0,,,,18.0,,,
seized,16.0,,,,,,,
450kg,1.0,,,,,,,
illegal,7.0,,,,,,,
drugs,5.0,,,,,,,
heroin,7.0,,,,,,,
hashish,1.0,,,,,,,
value,7.0,,,,,,,
narcotics,3.0,,,,,,,
seizure,6.0,,,,,,,
French,2.0,,,1.0,3.0,,,
remain,12.0,,,,,,,
committed,13.0,,,,,,,
disrupting,1.0,,,,,,,
criminal,3.0,,,,,,,
terrorist,6.0,,,,,2.0,,
activities,11.0,,,,,,,
restricting,1.0,,,,,,,
maneuver,1.0,,,,,,,
environment,11.0,1.0,,,,,,
Commanding,4.0,,,,,,,
“This,8.0,,,,,,,
effectiveness,2.0,,,,,,,
illustrates,1.0,,,,,,,
partners.”,2.0,,,,1.0,,,
Officer,3.0,,,,,,,
remarked,1.0,,,,,,,
activity,8.0,,,,,,,
activity.,1.0,,,,,,,
shared,13.0,,,,,,,
involved.”,1.0,,,,,,,
38-nation,1.0,,,,,,,
partnership,36.0,,,,,,,
headquartered,3.0,3.0,,,,,,
strengthens,3.0,,,,,,,
countering,5.0,,,,,,,
finance,2.0,,,,,,,
terrorism,3.0,,,,,,,
crime.,2.0,,,,,,,
twelfth,2.0,,,,,,,
Bright,6.0,,,,,,,
Star,5.0,,,,,,,
Military,7.0,1.0,,,5.0,,,
Jointly,1.0,,,,,,,
led,9.0,,,,,,,
Armed,2.0,,,6.0,9.0,,,
oldest,1.0,,,,,,,
multilateral,3.0,,,,,,,
occurring,1.0,,,,,,,
biannual,1.0,,,,,,,
multinational,19.0,,,,1.0,,,
enhance,14.0,,,,,,,
nations,24.0,,,,1.0,,,
confront,3.0,,,,,,,
challenges,15.0,,,,,,,
levels,4.0,,,,,,,
historic,1.0,,,,,,,
role,19.0,,,,,,,
counterterrorism,1.0,,,,,,,
efforts,15.0,,,,,,,
violent,2.0,,,,,,,
extremism,3.0,,,,,,,
14,1.0,,,,,,1.0,
focusing,2.0,,,,,,,
subject,4.0,,,,,,,
expert,1.0,,1.0,,,,,
Post,2.0,,,,,,,
Exercises,2.0,,,,,,,
Field,1.0,,,,,,,
disciplines,1.0,,,,,,,
Approximately,2.0,,,,,,,
"8,000",1.0,,,,,,,
Star.,1.0,,,,,,,
"2,300",1.0,,,,,,,
International,1.0,,,,6.0,,,
police,4.0,,1.0,,2.0,,,
Additionally,1.0,,,,,,,
observers,2.0,,,,,,,
Republic,1.0,4.0,,1.0,6.0,,,
long-standing,2.0,,,,,,,
defense,9.0,,2.0,1.0,1.0,1.0,,
cooperation,15.0,,,,,,,
Large-scale,1.0,,,,,,,
improve,8.0,,,,,,,
hosted,13.0,,,,,,,
discussions,5.0,,,,,,,
welcomed,5.0,,,,,,,
Israeli,1.0,,2.0,,3.0,,,
ambassador,1.0,,3.0,,,,,
Honorable,2.0,,1.0,,,,,
senior,11.0,,2.0,,1.0,,,
Support,2.0,1.0,,,3.0,,,
“As,2.0,,,,,,,
am,5.0,,,,,,,
honored,2.0,,,,,,,
participation,4.0,,,,,,,
outcome,1.0,,,,,,,
Abraham,1.0,,,,,,,
Accords.,1.0,,,,,,,
let,8.0,,,,,,,
remember,1.0,,,,,,,
boundaries.,1.0,,,,,,,
Together,3.0,,,,,,,
chart,1.0,,,,,,,
prosperous,1.0,,,,,,,
beyond.”,1.0,,,,,,,
highlights,1.0,,,,,,,
decades-long,1.0,,,,,,,
underscores,2.0,,,,,,,
alignment,1.0,,,,,,,
“We,14.0,,,,,,,
two-year,1.0,,,,,,1.0,
anniversary,4.0,,,,,,1.0,
realignment,1.0,,,,,,,
Command’s,1.0,,,,2.0,,,
responsibility,7.0,,,,,,,
engagements,5.0,,,,,,,
realignment.,1.0,,,,,,,
Both,2.0,,,,1.0,,,
navies,3.0,,,,1.0,,,
patrols,4.0,,,,,,,
Intrinsic,1.0,,,,,,,
Defender,3.0,,,,,,,
two-week,2.0,,,,,,,
enhanced,3.0,,,,,,,
navy-to-navy,1.0,,,,,,,
ordnance,3.0,,,3.0,,,,
countermeasures,8.0,,,,,,,
health,5.0,,,,,,,
management,11.0,,,,,,,
underwater,1.0,,,,,,,
construction,2.0,,,,,,,
vessel,15.0,,,,,,,
boarding,5.0,,,,,,,
welcomes,1.0,,,,,,,
member,11.0,,,,,,,
Construct,1.0,,,,1.0,,,
coalition,8.0,,,,,,,
established,5.0,,,,,,1.0,
deter,7.0,,,,,,,
commercial,4.0,,,,,,,
becomes,1.0,,,,,,,
arm,2.0,,,,,,,
Coalition,1.0,,,,1.0,,,
understands,1.0,,,,,,,
free,8.0,,,,,,,
commerce,2.0,,,,,,,
underpinning,1.0,,,,,,,
Commander,6.0,,7.0,,,,,
statement,3.0,,,,,,,
announcing,2.0,,,,,,,
move.,1.0,,,,,,,
“From,1.0,,,,,,,
standpoint,2.0,,,,,,,
effectively,2.0,,,,,,,
multifarious,1.0,,,,,,,
faces,1.0,,,,,,,
21st,1.0,,,,,,1.0,
century,2.0,,,,,,1.0,
excited,3.0,,,,,,,
join,4.0,,,,,,,
tradition,1.0,,,,,,,
“is,1.0,,,,,,,
looking,7.0,,,,,,,
professionalism,3.0,,,,,,,
essential,6.0,,,,,,,
organization,4.0,,,,,,,
“Joining,1.0,,,,,,,
“and,1.0,,,,,,,
continuation,1.0,,,,,,,
inherent,4.0,,,,,,,
merchant,10.0,,,,,,,
masters,2.0,,,,,,,
domain,10.0,,,,,,,
awareness.”,1.0,,,,,,,
“We’re,2.0,,,,,,,
“Regional,1.0,,,,1.0,,,
imperative,1.0,,,,,,,
played,2.0,,,,,,,
endeavor.,1.0,,,,,,,
representation,1.0,,,,,,,
stronger.”,1.0,,,,,,,
“I’m,2.0,,,,,,,
thrilled,1.0,,,,,,,
welcome,1.0,,,,,,,
brings,3.0,,,,,,,
construct,1.0,,,,,,,
championing,2.0,,,,,,,
rules-based,4.0,,,,,,,
vibrant,1.0,,,,,,,
trade,1.0,,,,,,,
addition,8.0,,,,,,,
delivering,3.0,,,,,,,
formed,3.0,,,,,,,
mariners,1.0,,,,,,,
transiting,9.0,,,,,,,
state-sponsored,1.0,,,,,,,
malign,3.0,,,,,,,
reassure,3.0,,,,,,,
industry,4.0,,,,1.0,,,
member-nations,2.0,,,,,,,
based,12.0,,,,,,,
Infinite,2.0,,,,,,,
23,10.0,,,,1.0,,2.0,
300,1.0,,,,,,,1.0
participated.,1.0,,,,,,,
inspiring,1.0,,,,,,,
Capt.,1.0,,6.0,,1.0,,,
“Together,1.0,,,,,,,
grow,2.0,,,,,,,
tactics,3.0,,,,,,,
stability.”,3.0,,,,,,,
During,16.0,,,,,,,
practiced,1.0,,,,,,,
humanitarian,4.0,,1.0,,,,,
assistance,9.0,,,,,,,
disaster,2.0,,,,,,,
interdiction,4.0,,,,,,,
annual,3.0,,,,,,,
focused,16.0,,,,,,,
—,3.0,,,,,,,
Over,4.0,,,,,,,
230,1.0,,,,,,,
individuals,1.0,,,,,,,
Regional,5.0,,,,2.0,,,
held,9.0,,,,,,,
sponsored,1.0,,,,,,,
counter-terrorism,2.0,,,,,,,
“Since,1.0,,,,,,,
inception,2.0,,,,,,,
well-known,1.0,,,,,,,
deputy,2.0,,,,,,,
director,3.0,,,,,,,
strategy,5.0,,,,,,,
remarks,1.0,,,,,,,
tremendous,2.0,,,,,,,
relationships,9.0,,,,,,,
share,6.0,,,,,,,
ideas,4.0,,,,,,,
region.”,1.0,,,,,,,
initial,7.0,,,,,,,
phase,2.0,,,,,,,
academics.,1.0,,,,,,,
Advisors,1.0,,,,,,,
Assistance,1.0,,,,1.0,,,
instruction,1.0,,,,,,,
Decision-Making,1.0,,,,,,,
Process,1.0,,,,,,,
MDMP,3.0,,,,,,,
participants,9.0,,,,,,,
duties,1.0,,,,,,,
responsibilities,3.0,,,,,,,
baseline,1.0,,,,,,,
knowledge,6.0,,,,,,,
class,2.0,,,,,,,
practices,6.0,,,,,,,
helped,7.0,,,,,,,
shape,2.0,,,,,,,
participants’,1.0,,,,,,,
idea,4.0,,,,,,,
internationally-recognized,1.0,,,,,,,
officially,1.0,,,,,,,
scenario,4.0,,,,,,,
unstable,1.0,,,,,,,
fictitious,2.0,,,,,,,
conflicting,1.0,,,,,,,
entities,1.0,,,,,,,
CPX.,1.0,,,,,,,
Working,1.0,,,,,,,
indelible,1.0,,,,,,,
interpreters,1.0,,,,,,,
sections,1.0,,,,,,,
worked,4.0,,,,,,,
storyline,2.0,,,,,,,
providing,7.0,,,,,,,
destruction,1.0,,,,,1.0,,
interagency,1.0,,,,,,,
facilitating,1.0,,,,,,,
development,10.0,,,,,,,
general,7.0,,4.0,,,,,
provides,4.0,,,,,,,
expertise,8.0,,,,,,,
experiences,2.0,,,,,,,
personal,2.0,,,,,2.0,,
cross,3.0,,,,,,,
borders,2.0,,,,,,,
cultures.”,1.0,,,,,,,
Three,2.0,,,,,,,
conferences,4.0,,,,,,,
conference,8.0,,,,,,,
final,6.0,,,,,,,
seven,2.0,,,,,,,
input,1.0,,,,,,,
injects.,1.0,,,,,,,
Participation,1.0,,,,,,,
“Your,1.0,,,,,,,
reflects,2.0,,,,,,,
mutual,3.0,,,,,,,
interest,10.0,,,,,,,
participate,5.0,,,,,,,
State,5.0,1.0,,,2.0,,,
Partnership,4.0,,,,,,,
Program,4.0,,,,,,,
RC23.,1.0,,,,,,,
SPP,3.0,,,,,,,
program,8.0,,,,,,,
administered,1.0,,,,,,,
armed,2.0,,,2.0,,,,
focuses,3.0,,,,,,,
relationship,6.0,,,,,,,
building.,1.0,,,,,,,
Now,3.0,,,,,,,
celebrating,1.0,,,,,,,
30th,1.0,,,,,,,
one-third,1.0,,,,,,,
world’s,7.0,,,,,,,
“Participating,1.0,,,,,,,
amazing,1.0,,,,,,,
coordinator,1.0,,1.0,,,,,
enjoyed,2.0,,,,,,,
RC23,1.0,,,,1.0,,,
partnered,1.0,,,,,,,
1996,1.0,,,,,,1.0,
collaboration,12.0,,,,,,,
lead,6.0,,,,,,,
planner,1.0,,,,,,,
“When,1.0,,,,,,,
spend,3.0,,,,,,,
you’ll,1.0,,,,,,,
inevitably,2.0,,,,,,,
commonalities.,1.0,,,,,,,
My,3.0,,,,,,,
understanding,9.0,,,,,,,
partnerships,7.0,,,,,,,
individual,6.0,,,,,,,
level.”,1.0,,,,,,,
“Right,1.0,,,,,,,
inject,1.0,,,,,,,
flawless,1.0,,,,,,,
Finally,2.0,,,,,,,
entered,5.0,,,,,,,
after-action,1.0,,,,,,,
review,3.0,,,,,,,
gift,1.0,,,,,,,
exchange,2.0,,,,,,,
marked,3.0,,,,,,,
“No,1.0,,,,,,,
we’re,3.0,,,,,,,
group,13.0,,,,1.0,,,
united,2.0,,,,,,,
served,5.0,,,,,,,
“Thank,1.0,,,,,,,
future.”,1.0,,,,,,,
assumed,1.0,,,,,,,
counter-piracy,3.0,,,,1.0,,,
change-of-command,1.0,,,,,,,
ceremony,2.0,,,,,,,
Rear,2.0,,1.0,,1.0,,,
multi-national,1.0,,,,,,,
38,4.0,,,,,,,
promotes,1.0,,,,,,,
prosperity,2.0,,,,,,,
3.2,1.0,,,,,,,
encompassing,1.0,,,,,,,
lanes,1.0,,,,,,,
tenure,2.0,,,,,,,
piracy,6.0,,,,,,,
regularly,4.0,,,,,,,
collaborate,2.0,,,,,,,
yielded,1.0,,,,,,,
tangible,4.0,,,,,,,
results,1.0,,,,,,,
Established,2.0,,,,,,,
conducts,6.0,,,,,,,
suppress,2.0,,,,,,,
robbery,2.0,,,,,,,
collaborates,1.0,,,,,,,
27-year,1.0,,,,,,,
veteran,4.0,,,,,,,
national,9.0,,,,,,,
representative,2.0,,,,,,,
“My,1.0,,,,,,,
nations.,1.0,,,,1.0,,,
unwavering,1.0,,,,,,,
maintaining,5.0,,,,,,,
recognizing,2.0,,,,,,,
collaboration.”,1.0,,,,,,,
representatives,1.0,,,,,,,
successfully,4.0,,,,,,,
carried,4.0,,,,,,,
generation,7.0,,,,,,,
quoted,2.0,,,,,,,
saying,10.0,,,,,,,
“last,1.0,,,,,,,
global-range,1.0,,,,,,,
nuclear,4.0,,,8.0,,2.0,,
conducted.”,1.0,,,,,,,
speaking,4.0,,,,,,,
Forum,2.0,3.0,,,,,,
broader,2.0,,,,,,,
intercontinental,1.0,,,,,,,
hypersonic,1.0,,,1.0,,,,
Addressing,1.0,,,,,,,
speech,4.0,,,,,,,
“Listen,1.0,,,,,,,
now.”,1.0,,,,,,,
goal,2.0,,,,,,,
“It,4.0,,,,,,,
low-flying,1.0,,,,,,,
stealth,1.0,,,,,,,
carrying,2.0,,,,,,,
unlimited,1.0,,,,,,,
unpredictable,2.0,,,,,,,
trajectory,1.0,,,,,,,
bypass,1.0,,,,,,,
interception,1.0,,,,,,,
boundaries,1.0,,,,,,,
run,4.0,,,,,,,
trouble,1.0,,,,,,,
tests.,1.0,,,,,,,
Nuclear,2.0,,,,1.0,,,
analytical,1.0,,,,,,,
“there,1.0,,,,,,,
consensus,1.0,,,,,,,
press,3.0,,1.0,,,,,
purported,1.0,,,,,,,
agreement,3.0,,,,,,,
13,1.0,,,2.0,,,1.0,
partial,1.0,,,,,,,
successes.”,1.0,,,,,,,
describing,1.0,,,,,,,
weapon,1.0,,,,,2.0,,
finish,1.0,,,,,,,
chance,3.0,,,,,,,
Also,1.0,,,,,,,
possible,7.0,,,,,,,
revoke,2.0,,,,,,,
ratification,3.0,,,,,,,
treaty,4.0,,,,,,,
banning,2.0,,,,,,,
tests,2.0,,,1.0,,,,
signed,6.0,,,,,,,
corresponding,1.0,,,,,,,
document,1.0,,,,,,,
it.,4.0,,,,,,,
ratified,2.0,,,,,,,
ratify,2.0,,,,,,,
president,1.0,,8.0,,,,,
sees,1.0,,,,,,,
fit,1.0,,,,,,,
“mirror,1.0,,,,,,,
manner,3.0,,,,,,,
“But,1.0,,,,,,,
revoked.,1.0,,,,,,,
noted,5.0,,,,,,,
Underground,1.0,,,,,,,
banned,1.0,,,,,,,
Comprehensive,1.0,,,,,,,
Test,1.0,,,,,,,
Ban,1.0,,,,,,,
Treaty.,1.0,,,,,,,
haven’t,1.0,,,,,,,
Exclusive,1.0,,,,,,,
Satellite,1.0,,,,1.0,,,
images,4.0,,,,,,,
sites,1.0,,,3.0,,,,
moves,1.0,,,,,,,
“no,1.0,,,,,,,
illusions,1.0,,,,,,,
parity,1.0,,,,,,,
destroyed.”,1.0,,,,,,,
“almost,1.0,,,,,,,
finished,1.0,,,,,,,
bureaucratic,1.0,,,,,,,
“move,1.0,,,,,,,
production,2.0,,,,,,,
duty.”,1.0,,,,,,,
conduct,4.0,,,,,,,
check,2.0,,,,,,,
efficiently,1.0,,,,,,,
rule,7.0,,,,,,,
advise,1.0,,,,,,,
report,9.0,,,,,,,
dug,1.0,,,,,,,
tunnels,1.0,,,,,,,
tensions,2.0,,,,,,,
powers,1.0,,,,,,,
risen,1.0,,,,,,,
highest,2.0,,,,,,,
evidence,6.0,,,,,,,
suggest,2.0,,,,,,,
imminent,2.0,,,,,,,
obtained,1.0,,,,,,,
prominent,2.0,,,,,,,
nonproliferation,1.0,,,,,,,
studies,2.0,,,,,,,
illustrate,1.0,,,,,,,
expansions,1.0,,,,,,,
invested,1.0,,,,,,,
money,5.0,,,,,,,
modernizing,1.0,,,,,,,
retired,1.0,,,,,,,
conquer,1.0,,,,,,,
instead,4.0,,,,,,,
“principles.”,1.0,,,,,,,
clear.,1.0,,,,,,,
largest,10.0,,,,,,,
conquering,1.0,,,,,,,
additional,4.0,,,,,,,
Tens,1.0,,,,,,,
towns,1.0,,,,,,,
wiped,2.0,,,,,,,
dollars,1.0,,,,,,,1.0
annex,1.0,,,,,,,
violation,2.0,,,,,,,
add,2.0,,,,,,,
pool,1.0,,,,,,,
photograph,1.0,,,,,,,
